numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,Column1
7027,2.02E+13,102600,200,1,20,5.6,280.65,278.95,89,15560,0,mq,mq,100,8,450,mq,mq,mq,101770,mq,mq,1760,mq,mq,mq,mq,282.75,mq,mq,9,10.2,-10,1,0,mq,mq,0,0.2,0.6,1,6.4,mq,mq,mq,mq,7,mq,300,8,mq,450,mq,mq,mq,mq,mq,mq,
7037,2.02E+13,102390,210,1,350,7.2,280.45,277.25,80,17830,0,mq,mq,100,8,450,mq,mq,mq,100460,mq,mq,1660,mq,mq,mq,mq,281.25,mq,mq,12.5,12.5,-10,mq,0,mq,mq,0,0,-0.1,-0.1,1.2,mq,mq,mq,mq,8,mq,480,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7072,2.02E+13,101990,230,1,340,4.1,281.05,279.35,89,19930,0,mq,mq,100,8,450,mq,mq,mq,100830,mq,mq,1470,mq,mq,mq,mq,280.45,mq,mq,6.7,9.5,-10,mq,0,mq,mq,0,0.4,1.2,3.2,7.8,mq,mq,mq,mq,7,mq,420,8,mq,600,mq,mq,mq,mq,mq,mq,
7110,2.02E+13,102790,130,1,30,5.6,285.75,280.45,70,19980,0,mq,mq,mq,5,800,mq,mq,mq,101600,mq,mq,1500,mq,mq,mq,mq,280.75,mq,mq,8.7,9.2,-10,0,0,mq,mq,0,0,0,0,1.6,mq,mq,mq,mq,2,mq,690,5,mq,1200,mq,mq,mq,mq,mq,mq,
7117,2.02E+13,102760,140,1,360,4.7,285.55,281.25,75,30000,0,2,mq,60,4,800,38,27,11,102050,mq,mq,1610,mq,mq,mq,mq,mq,mq,mq,6.9,7.7,-10,0,mq,mq,mq,0,0,0,0,0.2,mq,mq,mq,mq,2,8,600,2,6,1000,1,3,2500,1,0,6000,
7130,2.02E+13,102580,160,1,360,5.6,284.25,279.75,74,37300,0,mq,mq,100,8,800,mq,mq,mq,102130,mq,mq,1470,mq,mq,mq,mq,283.45,mq,mq,8.7,10.3,-10,0,0,mq,mq,0,0,0,-0.1,0.6,mq,mq,mq,mq,5,mq,630,6,mq,780,8,mq,1080,mq,mq,mq,
7139,2.02E+13,102420,170,1,340,5.9,281.95,279.25,83,20000,0,mq,mq,100,8,450,mq,mq,mq,100650,mq,mq,1480,mq,mq,mq,mq,282.55,mq,mq,8.4,9.4,-10,0,0,mq,mq,0,0,-0.1,-0.1,5.6,mq,mq,mq,mq,7,mq,450,8,mq,690,mq,mq,mq,mq,mq,mq,
7149,2.02E+13,102170,200,1,340,6.5,281.85,278.45,79,18000,1,2,2,100,8,450,35,mq,mq,101070,mq,mq,1450,mq,mq,mq,mq,mq,mq,mq,10.2,12.1,-10,1,0,0,-60,0,0,0.2,0.8,2.2,mq,mq,mq,mq,8,6,510,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7168,2.02E+13,101970,200,1,350,4.5,281.25,280.15,93,8770,0,mq,mq,100,8,250,mq,mq,mq,100530,mq,mq,1210,mq,mq,mq,mq,281.95,mq,mq,7.4,10.9,-10,mq,0,mq,mq,-0.1,0.8,1.4,5,10.4,mq,mq,mq,mq,5,mq,240,7,mq,420,8,mq,570,mq,mq,mq,
7181,2.02E+13,101740,220,1,330,4,280.65,280.25,97,11520,0,mq,mq,100,8,150,mq,mq,mq,97530,mq,mq,1050,mq,mq,mq,mq,279.55,mq,mq,5.3,6.5,-10,mq,mq,mq,mq,0.2,1.2,4.6,11.1,13.3,mq,mq,mq,mq,8,mq,150,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7190,2.02E+13,101690,190,2,360,4.5,283.65,281.25,85,48880,61,mq,mq,100,8,1250,mq,mq,mq,99870,mq,mq,1080,mq,mq,mq,mq,280.35,mq,mq,5.7,5.7,-10,0,0,mq,mq,-0.1,-0.1,0.6,1,3.2,mq,mq,mq,mq,8,mq,1080,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7207,2.02E+13,102670,120,1,360,3.9,286.35,278.95,61,20000,3,2,mq,75,6,800,35,20,10,102150,mq,mq,1280,mq,mq,mq,mq,mq,mq,mq,8.2,9.4,-10,0,mq,mq,mq,0,0,0,0,-0.1,mq,mq,mq,mq,6,6,800,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7222,2.02E+13,102530,150,1,340,4.3,284.55,279.05,69,60000,0,mq,mq,100,8,800,mq,mq,mq,102210,mq,mq,1280,mq,mq,mq,mq,282.85,mq,mq,8.6,8.6,-10,0,0,mq,mq,0,0,0,0,-0.1,mq,mq,mq,mq,2,mq,930,8,mq,1200,mq,mq,mq,mq,mq,mq,
7240,2.02E+13,102270,130,1,330,5.4,283.25,279.55,78,54560,0,mq,mq,100,8,800,mq,mq,mq,100910,mq,mq,1280,mq,mq,mq,mq,282.45,mq,mq,9.5,10.4,-10,0,0,mq,mq,0,0,0,-0.1,1.4,mq,mq,mq,mq,7,mq,600,8,mq,840,mq,mq,mq,mq,mq,mq,
7255,2.02E+13,102130,150,1,340,4.6,281.65,279.65,87,20000,0,mq,mq,mq,mq,mq,mq,mq,mq,100110,mq,mq,1080,mq,mq,mq,mq,280.95,mq,mq,8,9.2,-10,mq,0,mq,mq,0.2,0.2,0.4,0.6,3.6,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7280,2.02E+13,101770,150,1,300,5.6,282.65,280.25,85,19580,0,mq,mq,100,8,450,mq,mq,mq,99120,mq,mq,850,mq,mq,mq,mq,282.35,mq,mq,7.9,8.7,-10,0,0,mq,mq,-0.1,0.2,0.8,1.2,1.4,mq,mq,mq,mq,1,mq,540,4,mq,690,6,mq,900,mq,mq,mq,
7299,2.02E+13,101630,120,2,280,3.5,284.95,279.05,67,52490,0,mq,mq,mq,1,800,mq,mq,mq,98380,mq,mq,810,mq,mq,mq,mq,280.75,mq,mq,5.7,7.8,-10,0,0,mq,mq,0,0,0.8,1,2,mq,mq,mq,mq,1,mq,720,5,mq,1680,5,mq,2340,mq,mq,mq,
7314,2.02E+13,102490,110,1,310,5.8,285.65,282.15,79,mq,mq,2,mq,mq,mq,mq,mq,mq,mq,102210,mq,mq,1050,mq,mq,mq,mq,mq,mq,mq,8.2,8.2,-10,mq,mq,mq,mq,0,0,0,0,1,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7335,2.02E+13,102330,110,2,340,6.7,284.05,278.95,71,58380,0,mq,mq,100,8,800,mq,mq,mq,100870,mq,mq,1080,mq,mq,mq,mq,282.75,mq,mq,9.2,11.2,-10,0,0,mq,mq,0,0,0,0,1.4,mq,mq,mq,mq,7,mq,810,8,mq,1050,mq,mq,mq,mq,mq,mq,
7434,2.02E+13,102240,120,1,320,4.5,281.35,277.55,77,38210,0,mq,mq,100,8,450,mq,mq,mq,97400,mq,mq,820,mq,mq,mq,mq,281.55,mq,mq,8,8.4,-10,mq,0,mq,mq,0,0,1.6,2.4,17.6,mq,mq,mq,mq,6,mq,510,8,mq,720,mq,mq,mq,mq,mq,mq,
7460,2.02E+13,102000,100,2,350,4.1,282.55,278.75,77,50710,0,mq,mq,100,8,800,mq,mq,mq,98030,mq,mq,710,mq,mq,mq,mq,279.35,mq,mq,6.3,8.8,-10,2,0,mq,mq,0.2,0.2,0.2,0.2,2.2,mq,mq,mq,mq,1,mq,630,6,mq,810,8,mq,1230,mq,mq,mq,
7471,2.02E+13,mq,100,2,330,6.8,279.65,276.05,78,20000,0,mq,mq,100,6,450,mq,mq,mq,92120,92500,799,500,mq,mq,mq,mq,276.35,mq,mq,11.2,12.8,-10,0,0,mq,mq,-0.1,0.2,0.2,0.8,2,mq,mq,mq,mq,5,mq,570,6,mq,810,8,mq,1680,mq,8,mq,
7481,2.02E+13,101840,90,1,300,5.3,282.85,279.95,82,25000,60,6,2,100,8,450,38,mq,mq,98950,mq,mq,590,mq,mq,mq,mq,mq,mq,mq,8.5,8.5,-10,2,0,0,-60,-0.1,0.2,1.6,3.2,11,mq,mq,mq,mq,5,8,370,7,6,570,mq,mq,mq,mq,mq,mq,
7510,2.02E+13,102410,20,0,320,4.1,286.95,283.35,79,17340,0,mq,mq,mq,4,450,mq,mq,mq,101830,mq,mq,740,mq,mq,mq,mq,278.95,mq,mq,8.8,8.8,-10,mq,0,mq,mq,0.2,2.4,2.4,3,5,mq,mq,mq,mq,1,mq,570,3,mq,930,5,mq,1920,mq,8,mq,
7535,2.02E+13,102210,80,3,320,5,284.65,278.55,66,20000,0,mq,mq,100,6,800,mq,mq,mq,99080,mq,mq,700,mq,mq,mq,mq,282.75,mq,mq,10,10.7,-10,1,0,mq,mq,0.2,0.2,0.2,0.2,6.2,mq,mq,mq,mq,4,mq,900,6,mq,1350,8,mq,1620,mq,mq,mq,
7558,2.02E+13,101800,80,1,310,9.6,281.65,278.35,80,20000,0,mq,mq,mq,mq,mq,mq,mq,mq,93470,mq,mq,320,mq,mq,mq,mq,276.85,mq,mq,15.2,21.3,-10,mq,0,mq,mq,-0.1,-0.1,-0.1,0.2,11.7,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7577,2.02E+13,101610,40,2,30,7.5,287.45,279.05,57,20000,0,mq,mq,mq,mq,mq,mq,mq,mq,100720,mq,mq,360,mq,mq,mq,mq,282.15,mq,mq,13.1,16,-10,2,0,mq,mq,0,0,0.2,0.2,1.2,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7591,2.02E+13,mq,50,8,200,5.6,286.75,272.35,37,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,91020,mq,mq,60,mq,274.35,mq,286.75,mq,mq,mq,mq,mq,mq,mq,0,mq,mq,0,0,0,0,1.4,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7607,2.02E+13,102470,40,0,280,5,285.45,282.45,82,17750,60,mq,mq,100,4,800,mq,mq,mq,101750,mq,mq,590,mq,mq,mq,mq,284.75,mq,mq,7.5,11.3,-10,mq,0,mq,mq,-0.1,0.2,1.4,1.6,10,mq,mq,mq,mq,2,mq,600,3,mq,1020,7,mq,1620,mq,9,mq,
7621,2.02E+13,102470,50,0,250,6,285.15,280.05,71,30380,0,mq,mq,100,7,800,mq,mq,mq,98130,mq,mq,430,mq,mq,mq,mq,280.85,mq,mq,9.3,10.3,-10,1,0,mq,mq,0,0.8,3.9,8.3,22.8,mq,mq,mq,mq,6,mq,720,7,mq,1020,8,mq,1980,mq,8,mq,
7627,2.02E+13,102440,90,3,300,4,282.05,280.85,92,20000,61,mq,mq,100,8,450,mq,mq,mq,97460,mq,mq,510,mq,mq,mq,mq,281.25,mq,mq,7.1,11.5,-10,2,0,mq,mq,-0.1,-0.1,0.2,0.8,1.8,mq,mq,mq,mq,1,mq,480,5,mq,630,7,mq,930,mq,mq,mq,
7630,2.02E+13,102270,70,1,300,8.6,286.45,280.45,67,10200,0,mq,mq,90,2,800,mq,mq,mq,100470,mq,mq,490,mq,mq,mq,mq,280.05,mq,mq,13.1,13.1,-10,0,0,mq,mq,-0.1,-0.1,-0.1,-0.1,5.2,mq,mq,mq,mq,1,mq,900,7,mq,2280,mq,8,mq,mq,mq,mq,
7643,2.02E+13,101510,-10,0,310,10.5,291.65,275.45,34,30780,0,mq,mq,mq,5,1750,mq,mq,mq,101420,mq,mq,80,mq,mq,mq,mq,280.15,mq,mq,16.3,16.3,-10,mq,0,mq,mq,0,0,0,0,0,mq,mq,mq,mq,5,mq,1980,5,mq,5760,mq,mq,mq,mq,mq,mq,
7650,2.02E+13,101200,10,1,330,13.6,290.85,278.75,45,9220,0,mq,mq,mq,1,450,mq,mq,mq,100820,mq,mq,-200,mq,mq,mq,mq,281.95,mq,mq,19.9,21.7,-10,0,0,mq,mq,0,0,0,0,0,mq,mq,mq,mq,1,mq,360,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7661,2.02E+13,mq,mq,mq,230,4,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,5.7,6.3,-10,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7690,2.02E+13,101060,130,1,170,1.9,290.15,281.85,58,40000,3,0,0,50,1,mq,31,23,11,100750,mq,mq,450,mq,mq,mq,mq,283.55,mq,mq,3,3.5,-10,0,0,mq,mq,0,0,0,0,0,mq,mq,mq,mq,1,8,700,2,3,4000,3,0,8000,mq,mq,mq,
7747,2.02E+13,101770,40,3,300,11.2,289.15,277.25,45,9000,0,mq,mq,mq,2,1250,mq,mq,mq,101240,mq,mq,280,mq,mq,mq,mq,283.35,mq,mq,16.9,21.4,-10,0,0,mq,mq,0,0,0,0,-0.1,mq,mq,mq,mq,2,mq,1380,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7761,2.02E+13,100860,80,3,300,2.9,285.25,281.95,80,5860,61,mq,mq,100,4,800,mq,mq,mq,100750,mq,mq,-400,mq,mq,mq,mq,284.45,mq,mq,5.6,9,-10,mq,0,mq,mq,3,3,3,3,3.2,mq,mq,mq,mq,1,mq,720,3,mq,900,7,mq,1620,mq,9,mq,
7790,2.02E+13,100950,100,1,10,4.7,287.95,283.95,77,16990,0,mq,mq,75,3,800,mq,mq,mq,100810,mq,mq,150,mq,mq,mq,mq,mq,mq,mq,6.5,7.6,-10,mq,mq,mq,mq,0,0,1.2,1.2,1.2,mq,mq,mq,mq,3,mq,600,3,mq,930,6,mq,4320,mq,mq,mq,
61968,2.02E+13,100840,180,6,80,3.5,303.15,297.55,72,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100800,mq,mq,10,mq,295.85,mq,303.35,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,16.7,82,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
61972,2.02E+13,101260,140,6,mq,mq,301.15,294.95,69,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101190,mq,mq,-80,mq,298.55,mq,302.55,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
61976,2.02E+13,101000,130,6,120,4.9,303.75,296.65,66,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100910,mq,mq,-80,mq,300.25,mq,304.65,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
61980,2.02E+13,101170,-90,6,90,4.9,300.75,296.55,78,35760,0,mq,mq,100,5,800,mq,mq,mq,101020,mq,mq,-180,mq,mq,mq,mq,mq,mq,mq,6.6,7.4,-10,mq,mq,mq,mq,0.2,0.2,0.2,0.2,0.2,mq,mq,mq,mq,3,mq,960,3,mq,1230,5,mq,1470,mq,9,mq,
61996,2.02E+13,101720,180,6,350,7.3,291.75,290.95,95,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101380,mq,mq,-690,mq,287.35,mq,294.25,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0,0.8,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
61997,2.02E+13,101450,230,3,280,4.8,278.75,274.25,73,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99660,mq,mq,2400,mq,275.45,mq,279.55,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0.6,7.8,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
61998,2.02E+13,98900,220,1,300,10.3,280.45,275.35,70,20000,3,mq,mq,60,4,1250,32,20,11,98540,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,16.5,-10,mq,mq,mq,mq,0,mq,1,mq,mq,mq,mq,mq,mq,4,8,990,mq,mq,mq,mq,mq,mq,mq,mq,mq,
67005,2.02E+13,100860,-260,6,190,3.5,302.35,295.55,67,20000,0,mq,mq,75,6,6240,mq,mq,mq,100780,mq,mq,-60,mq,mq,mq,mq,mq,mq,mq,4.7,4.9,-10,mq,mq,mq,mq,0,0,2,52.9,53.1,mq,mq,mq,mq,6,mq,6240,mq,mq,mq,mq,mq,mq,mq,mq,mq,
71805,2.02E+13,99110,380,3,250,6.3,275.55,275.55,100,450,44,mq,mq,100,8,80,mq,mq,mq,99020,mq,mq,-2850,mq,mq,mq,mq,273.25,mq,mq,8.7,11.5,-10,mq,mq,mq,mq,0,0,-0.1,9.3,9.3,mq,mq,mq,mq,8,mq,90,mq,mq,mq,mq,mq,mq,mq,mq,mq,
78890,2.02E+13,101790,160,1,80,8.6,299.75,293.85,70,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101470,mq,mq,-70,mq,298.25,mq,302.55,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
78894,2.02E+13,101880,140,3,70,4,299.35,293.25,69,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101360,mq,mq,-100,mq,296.65,mq,301.55,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0,1.8,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
78897,2.02E+13,101830,150,1,110,4,299.35,292.95,68,43390,mq,mq,mq,mq,mq,mq,mq,mq,mq,101740,mq,mq,-60,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
78922,2.02E+13,101770,190,3,90,10.3,299.45,295.05,77,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101320,mq,mq,-80,mq,296.25,mq,301.45,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,1.2,1.2,1.2,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
78925,2.02E+13,101730,180,3,100,7,299.15,294.85,77,41970,0,mq,mq,100,5,800,mq,mq,mq,101640,mq,mq,-90,294.95,mq,mq,303.15,mq,mq,mq,10.6,13.1,-10,mq,mq,mq,mq,0,0.4,7.5,9.9,13.6,mq,mq,mq,mq,5,mq,780,5,mq,1080,7,mq,1740,mq,mq,mq,
81401,2.02E+13,101430,200,3,60,2.6,301.95,297.25,76,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101370,mq,mq,-60,mq,295.55,mq,305.95,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0.6,8.9,9.1,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
81405,2.02E+13,101450,200,2,60,6.1,300.95,295.45,72,22060,0,mq,mq,mq,1,800,mq,mq,mq,101360,mq,mq,0,295.75,mq,mq,mq,297.05,mq,mq,9,9.3,-10,mq,mq,mq,mq,0,-0.1,8.8,8.8,20.4,mq,mq,mq,mq,1,mq,810,mq,mq,mq,mq,mq,mq,mq,mq,mq,
81408,2.02E+13,101400,190,2,40,1.9,300.75,296.95,80,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101320,mq,mq,-20,mq,294.65,mq,302.95,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,1.2,1.2,5.6,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
81415,2.02E+13,mq,mq,mq,50,2.9,298.25,295.55,85,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,295.85,mq,305.45,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0.8,2.4,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
89642,2.02E+13,97630,-220,6,140,6.7,266.15,260.25,59,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,97090,mq,mq,mq,265.25,mq,268.35,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7005,2.02E+13,102500,120,1,10,6.5,281.65,277.45,75,20000,0,mq,mq,mq,mq,mq,mq,mq,mq,101610,mq,mq,1770,mq,mq,mq,mq,279.85,mq,mq,9.2,9.7,-10,mq,0,mq,mq,-0.1,-0.1,-0.1,-0.1,0.2,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7015,2.02E+13,102490,180,1,10,4.7,279.65,276.65,81,18760,0,mq,mq,100,8,450,mq,mq,mq,101910,mq,mq,1960,mq,mq,mq,mq,280.65,mq,mq,7.2,8.1,-10,0,0,mq,mq,0,0,0,0,5.6,mq,mq,mq,mq,8,mq,510,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7020,2.02E+13,102760,60,1,50,5.6,282.05,278.65,79,16000,2,2,mq,100,8,800,37,mq,mq,102650,mq,mq,1750,mq,mq,mq,mq,mq,mq,mq,8.3,9.3,-10,mq,mq,mq,mq,0,0,0,0,0,mq,mq,mq,mq,8,6,800,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7027,2.02E+13,102700,100,1,360,4.5,281.05,277.85,80,40350,0,mq,mq,100,8,450,mq,mq,mq,101870,mq,mq,1710,mq,mq,mq,mq,282.75,mq,mq,9.1,9.1,-10,0,0,mq,mq,0,0,0.2,1,2,mq,mq,mq,mq,7,mq,570,8,mq,750,mq,mq,mq,mq,mq,mq,
7037,2.02E+13,102480,100,3,330,6.5,282.15,276.95,70,19530,0,mq,mq,100,8,800,mq,mq,mq,100560,mq,mq,1630,mq,mq,mq,mq,281.25,mq,mq,10.6,11.2,-10,mq,0,mq,mq,0,0,0,-0.1,-0.1,mq,mq,mq,mq,8,mq,690,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7072,2.02E+13,102180,180,1,350,5.9,280.95,278.75,86,19900,0,mq,mq,100,8,450,mq,mq,mq,101010,mq,mq,1540,mq,mq,mq,mq,280.45,mq,mq,8.6,8.7,-10,0,0,mq,mq,0,0,0.4,2.2,7.6,mq,mq,mq,mq,8,mq,450,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7110,2.02E+13,102810,20,1,10,5.7,285.15,279.45,68,53670,0,mq,mq,mq,5,800,mq,mq,mq,101620,mq,mq,1360,mq,mq,mq,mq,280.75,mq,mq,8.8,9.3,-10,0,0,mq,mq,0,0,0,0,1.4,mq,mq,mq,mq,3,mq,930,5,mq,1140,mq,mq,mq,mq,mq,mq,
7117,2.02E+13,102820,60,1,10,4.6,284.05,280.35,78,30000,3,2,mq,90,7,800,35,mq,mq,102110,mq,mq,1530,mq,mq,mq,mq,mq,mq,mq,6.6,7.6,-10,0,mq,mq,mq,0,0,0,0,0.2,mq,mq,mq,mq,7,6,800,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7130,2.02E+13,102640,60,1,350,5.5,283.95,279.85,76,40380,0,mq,mq,100,8,800,mq,mq,mq,102190,mq,mq,1440,mq,mq,mq,mq,283.55,mq,mq,7.9,8.6,-10,0,0,mq,mq,0,0,0,0,0.4,mq,mq,mq,mq,5,mq,630,5,mq,870,7,mq,1140,mq,mq,mq,
7139,2.02E+13,102550,120,1,330,5.9,281.05,278.55,84,20000,0,mq,mq,100,8,450,mq,mq,mq,100770,mq,mq,1540,mq,mq,mq,mq,282.55,mq,mq,8.7,10.3,-10,0,0,mq,mq,0,0,0,-0.1,4.8,mq,mq,mq,mq,8,mq,480,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7149,2.02E+13,102330,150,2,10,6.9,281.15,278.25,82,18480,0,2,2,100,8,450,mq,mq,mq,101220,mq,mq,1580,mq,mq,mq,mq,mq,mq,mq,10.5,12.6,-10,0,0,mq,mq,0,0,0,0.6,2.2,mq,mq,mq,mq,8,mq,480,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7168,2.02E+13,102140,160,2,350,5.6,280.85,279.35,90,12640,0,mq,mq,100,8,450,mq,mq,mq,100690,mq,mq,1390,mq,mq,mq,mq,281.95,mq,mq,8.4,9.3,-10,1,0,mq,mq,0,-0.1,0.8,2.4,9,mq,mq,mq,mq,6,mq,300,8,mq,420,mq,mq,mq,mq,mq,mq,
7181,2.02E+13,101880,150,1,350,2.8,281.45,281.05,97,2260,63,mq,mq,100,8,150,mq,mq,mq,97680,mq,mq,1210,mq,mq,mq,mq,279.55,mq,mq,5,5.9,-10,mq,mq,mq,mq,1,1.4,2.6,11.3,14.7,mq,mq,mq,mq,7,mq,120,8,mq,240,mq,mq,mq,mq,mq,mq,
7190,2.02E+13,101780,110,2,40,3.7,286.95,280.05,63,45550,0,mq,mq,100,3,800,mq,mq,mq,99980,mq,mq,1160,mq,mq,mq,mq,280.35,mq,mq,6.3,6.3,-10,0,0,mq,mq,0,0.2,0.2,1.2,3.2,mq,mq,mq,mq,2,mq,900,3,mq,1350,5,mq,1680,mq,8,mq,
7207,2.02E+13,102710,40,1,10,4.7,285.95,278.85,62,20000,3,2,mq,100,8,800,35,mq,mq,102190,mq,mq,1250,mq,mq,mq,mq,mq,mq,mq,7.4,8.6,-10,0,mq,mq,mq,0,0,0,0,0,mq,mq,mq,mq,8,6,800,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7222,2.02E+13,102560,30,2,340,3.6,284.65,279.35,70,60000,0,mq,mq,100,8,800,mq,mq,mq,102240,mq,mq,1240,mq,mq,mq,mq,282.85,mq,mq,7.4,8.3,-10,0,0,mq,mq,0,0,0,0,0,mq,mq,mq,mq,5,mq,930,7,mq,1200,8,mq,1440,mq,mq,mq,
7240,2.02E+13,102350,80,1,340,5.8,283.95,279.85,76,37070,0,mq,mq,100,7,800,mq,mq,mq,100990,mq,mq,1250,mq,mq,mq,mq,282.45,mq,mq,9.4,10.2,-10,0,0,mq,mq,0,0,0,0,-0.1,mq,mq,mq,mq,7,mq,720,7,mq,1110,8,mq,1680,mq,mq,mq,
7255,2.02E+13,102210,80,1,330,3.4,282.05,279.65,85,20000,0,mq,mq,mq,mq,mq,mq,mq,mq,100190,mq,mq,1120,mq,mq,mq,mq,280.95,mq,mq,6.2,9,-10,mq,0,mq,mq,0,0,0.2,0.4,2.4,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7280,2.02E+13,101900,120,3,360,5,281.95,279.05,82,47050,0,mq,mq,100,8,800,mq,mq,mq,99240,mq,mq,1060,mq,mq,mq,mq,282.35,mq,mq,9.1,9.4,-10,2,0,mq,mq,0.2,0.2,0.4,1,1.4,mq,mq,mq,mq,7,mq,630,7,mq,870,8,mq,1140,mq,8,mq,
7299,2.02E+13,101710,80,3,300,2.8,285.05,279.35,68,60000,0,mq,mq,100,8,1250,mq,mq,mq,98460,mq,mq,890,mq,mq,mq,mq,281.15,mq,mq,4.2,6.2,-10,0,0,mq,mq,0,0,0,1,2,mq,mq,mq,mq,1,mq,1080,8,mq,1260,mq,mq,mq,mq,mq,mq,
